ip,score,category,totalReports,country,lastReported
147.161.161.82,0,Low Risk,0,AE,2024-07-14T02:54:52+00:00
165.225.33.6,0,Low Risk,0,US,
165.225.212.255,0,Low Risk,0,CA,
136.226.64.114,0,Low Risk,0,US,
165.225.240.79,0,Low Risk,0,NL,
136.226.77.103,5,Low Risk,1,CA,2025-06-24T11:06:44+00:00
165.225.26.101,0,Low Risk,0,DE,2023-04-13T22:55:18+00:00
155.91.45.242,0,Low Risk,0,US,2021-09-05T08:11:55+00:00
165.225.209.4,0,Low Risk,0,CA,
147.161.131.1,0,Low Risk,0,AT,
136.226.67.101,0,Low Risk,0,US,
94.188.248.74,0,Low Risk,0,IL,2022-10-03T12:00:58+00:00
165.225.213.7,0,Low Risk,0,CA,
165.225.8.79,0,Low Risk,0,US,
136.226.80.97,0,Low Risk,0,US,
192.241.230.19,0,Low Risk,0,US,2024-06-30T10:01:39+00:00
198.235.24.81,0,Low Risk,5515,TW,2025-06-24T12:35:01+00:00
65.49.1.69,100,High Risk,2631,US,2025-06-24T15:03:51+00:00
65.49.1.72,100,High Risk,2738,US,2025-06-24T14:09:01+00:00
65.49.1.94,100,High Risk,3135,US,2025-06-24T15:17:09+00:00
65.49.1.104,100,High Risk,2769,US,2025-06-24T15:03:44+00:00
65.49.1.97,100,High Risk,2875,US,2025-06-24T14:03:31+00:00
65.49.1.99,100,High Risk,2907,US,2025-06-24T15:00:57+00:00
65.49.1.76,100,High Risk,2742,US,2025-06-24T14:03:30+00:00
65.49.1.96,100,High Risk,2899,US,2025-06-24T15:00:50+00:00
65.49.1.95,100,High Risk,2780,US,2025-06-24T15:03:43+00:00
65.49.1.74,100,High Risk,2775,US,2025-06-24T13:12:34+00:00
192.241.205.18,0,Low Risk,0,US,2024-07-01T10:38:33+00:00
10.138.69.97,0,Low Risk,0,,
